date,Open,High,Low,Close,Volume,symbol
2025-08-13,789.9721665216805,794.2757473900336,777.0713578354987,778.9186401367188,8811800,META
2025-08-14,776.7218428333804,786.6370510429252,771.3598429397638,780.9655151367188,8116200,META
2025-08-15,782.9825648931883,795.0645257736991,779.6575056048304,784.0609130859375,13375400,META
2025-08-18,773.9360156125421,774.6549143701418,755.4335751910228,766.2274780273438,16513700,META
2025-08-19,765.977874147037,766.0277875160474,748.2443062415024,750.3611450195312,12286700,META
2025-08-20,746.4570103778062,749.083099657565,729.911672806752,746.6067504882812,11898200,META
2025-08-21,743.6012666698691,744.3900685450179,732.0185006665147,737.9995727539062,8876300,META
2025-08-22,738.1293678852983,755.7731035460037,733.2966081137474,753.6661987304688,10612700,META
2025-08-25,753.6961621486424,757.7501148109367,749.0131426125197,752.1784057617188,6861200,META
2025-08-26,749.6821592803592,753.7461069744401,746.8264320177999,752.9772338867188,7601800,META
2025-08-27,751.1799307743298,753.0272129802489,741.7340542390842,746.2672729492188,8315400,META
2025-08-28,742.8922995313089,751.9288132977724,739.6970516455432,749.99169921875,7468000,META
2025-08-29,744.1703787664815,746.0275947781304,734.2551099537487,737.6001586914062,9070500,META
2025-09-02,724.9589996576248,734.9041924629622,720.655419120511,734.0155029296875,9350900,META
2025-09-03,734.9042121918441,739.1478846127889,732.8971950134412,735.95263671875,7699300,META
2025-09-04,747.4555024338443,760.0267237435045,744.7095967582477,747.535400390625,11439100,META
2025-09-05,751.499502790698,756.8215846100361,743.9208368275713,751.3297729492188,9663400,META
2025-09-08,754.8744351124396,765.3687971294402,750.9003802075373,751.179931640625,13087800,META
2025-09-09,756.3621991005824,765.1590798691678,752.3082462809408,764.5599975585938,10999000,META
2025-09-10,763.990858904295,764.5600175863916,749.8818911499914,750.8604125976562,12478300,META
2025-09-11,753.5264602522736,755.9727638030715,747.2557810059183,749.7820434570312,7923300,META
2025-09-12,747.6152548910696,756.4421205211297,742.6526835890741,754.465087890625,8248600,META
2025-09-15,756.3421855933647,772.9175066813722,750.8703641812288,763.5614624023438,10533800,META
2025-09-16,765.8580156945753,780.1966205012909,763.960820221922,777.8401489257812,11782500,META
2025-09-17,778.828725718326,782.1238004242355,765.1691000860621,774.5650634765625,9400900,META
2025-09-18,779.5875734416616,787.6056471582369,772.2085614820411,779.0883178710938,10955000,META
2025-09-19,785.2490765825911,789.6225600448605,768.0447499547826,777.2210693359375,23696800,META
2025-09-22,781.2128396094075,785.0896826443245,763.8469978355404,764.5364379882812,11706900,META
2025-09-23,768.6231126086477,769.9719880546131,750.4579354131178,754.784423828125,10872600,META
2025-09-24,756.8827020619125,760.4897455830934,751.9167814613187,760.0401000976562,8828200,META
2025-09-25,752.8360219788784,756.1533238123261,743.9432502397539,748.2996826171875,10591100,META
2025-09-26,749.3888277967437,751.3172477286904,736.7491118404043,743.1439208984375,9696300,META
2025-09-29,748.1098002440084,750.1681799899285,738.5476529969768,742.794189453125,9246800,META
2025-09-30,741.6451369970716,742.3645209926972,725.7081225297242,733.7815551757812,16226800,META
2025-10-01,720.9020135039985,721.2617054862658,709.6212362201944,716.7554321289062,20419600,META
2025-10-02,721.9911913779041,727.176964520395,717.5548070653372,726.45751953125,11415300,META
2025-10-03,729.0354240673363,730.4043027655052,709.6012618171895,709.98095703125,16154300,META
2025-10-06,704.6153434967972,716.2958197616522,689.9473135389625,715.0767822265625,21654700,META
2025-10-07,717.135073707775,717.9144673294414,705.1748577839295,712.4989013671875,12062900,META
2025-10-08,712.8686286502683,719.063588526951,707.233209995552,717.2550659179688,10790600,META
2025-10-09,717.694662739213,732.9122314453125,711.8593952481671,732.9122314453125,12717200,META
2025-10-10,730.3243364156914,734.6708280741015,703.9358854737135,704.7252197265625,16980100,META
2025-10-13,712.4289500007787,719.353295154282,707.0633311027989,715.1167602539062,9251800,META
2025-10-14,707.2032236513401,714.966850016347,698.7600977854659,708.072509765625,8829800,META
2025-10-15,716.4756800447307,723.3101331023296,708.9318445822669,716.9652709960938,10246800,META
2025-10-16,716.9652609619593,724.898793146875,703.3064176322127,711.48974609375,9017000,META
2025-10-17,706.5038073054051,717.9544293541486,705.5445676686097,716.3357543945312,12232400,META
